track_id,song_id,artist_id,artist_name,song_title,genre,dot_1_track_id,dot_1_song,dot_1_score,dot_2_track_id,dot_2_song,dot_2_score,dot_3_track_id,dot_3_song,dot_3_score,centered_1_track_id,centered_1_song,centered_1_score,centered_2_track_id,centered_2_song,centered_2_score,centered_3_track_id,centered_3_song,centered_3_score,correlation_1_track_id,correlation_1_song,correlation_1_score,correlation_2_track_id,correlation_2_song,correlation_2_score,correlation_3_track_id,correlation_3_song,correlation_3_score,cosine_1_track_id,cosine_1_song,cosine_1_score,cosine_2_track_id,cosine_2_song,cosine_2_score,cosine_3_track_id,cosine_3_song,cosine_3_score,tfidf_dot_1_track_id,tfidf_dot_1_song,tfidf_dot_1_score,tfidf_dot_2_track_id,tfidf_dot_2_song,tfidf_dot_2_score,tfidf_dot_3_track_id,tfidf_dot_3_song,tfidf_dot_3_score,tfidf_centered_1_track_id,tfidf_centered_1_song,tfidf_centered_1_score,tfidf_centered_2_track_id,tfidf_centered_2_song,tfidf_centered_2_score,tfidf_centered_3_track_id,tfidf_centered_3_song,tfidf_centered_3_score,tfidf_correlation_1_track_id,tfidf_correlation_1_song,tfidf_correlation_1_score,tfidf_correlation_2_track_id,tfidf_correlation_2_song,tfidf_correlation_2_score,tfidf_correlation_3_track_id,tfidf_correlation_3_song,tfidf_correlation_3_score,tfidf_cosine_1_track_id,tfidf_cosine_1_song,tfidf_cosine_1_score,tfidf_cosine_2_track_id,tfidf_cosine_2_song,tfidf_cosine_2_score,tfidf_cosine_3_track_id,tfidf_cosine_3_song,tfidf_cosine_3_score
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,3570.0,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),2865.0,TRVDAHO128F92F231E,Katy Perry - Hot N Cold (Innerpartysystem Main),2436.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,3310.5599999999995,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),2695.4474999999993,TRVDAHO128F92F231E,Katy Perry - Hot N Cold (Innerpartysystem Main),2364.618749999996,TRQBTYN128F92EA704,Tony Bennett - You're All The World To Me,0.7336968310393819,TRCRGKS128F92C57A8,Patricia Barber - You're The Top,0.7271838626050467,TRYMECK128F428253F,Husker Du - You're A Soldier,0.6887269177639507,TRQBTYN128F92EA704,Tony Bennett - You're All The World To Me,0.73913808345401,TRCRGKS128F92C57A8,Patricia Barber - You're The Top,0.7316274421252662,TRYMECK128F428253F,Husker Du - You're A Soldier,0.694669413787504,TRPURWU12903CA4A31,Aqua - Happy Boys & Girls,108.95266031131071,TRPLWSA128F92D555C,Flipsyde - Angel,101.61049527314846,TRHRYAK128F1477540,Cathy Dennis - Being With You,100.58760870915184,TRPURWU12903CA4A31,Aqua - Happy Boys & Girls,91.6896816727753,TRHRYAK128F1477540,Cathy Dennis - Being With You,85.06942124454032,TREUPHA128F4278F34,Michael Jackson - Baby Be Mine,81.05918663573189,TRNQIOS12903CCF5E4,Colin James - These Arms Of Mine,0.33382680501338713,TRRGAEJ12903CA37B6,Big Bad Voodoo Daddy - Please Baby,0.28407429500044007,TREUPHA128F4278F34,Michael Jackson - Baby Be Mine,0.26433981093943565,TRNQIOS12903CCF5E4,Colin James - These Arms Of Mine,0.35382379729512425,TRRGAEJ12903CA37B6,Big Bad Voodoo Daddy - Please Baby,0.3051595525279233,TREUPHA128F4278F34,Michael Jackson - Baby Be Mine,0.30170735811526317
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3132.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,3012.0,TROIJDA128F9341E70,R. Kelly - I Mean (I Don't Mean It),2988.0,TROIJDA128F9341E70,R. Kelly - I Mean (I Don't Mean It),2804.214999999999,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2768.8550000000005,TRCHZXW128E079288A,Eminem - 8 Mile,2689.945000000001,TRDHQHB128F421FE15,Naked Aggression - Plastic World,0.6568703206763429,TRZSMVL128F4289D4C,Ozma - The Ups And Downs,0.6411269509264954,TRTPMBB128F42934F8,Sage Francis - Keep Moving,0.6134740359507632,TRDHQHB128F421FE15,Naked Aggression - Plastic World,0.6692922727596603,TRZSMVL128F4289D4C,Ozma - The Ups And Downs,0.6557604034160445,TRTPMBB128F42934F8,Sage Francis - Keep Moving,0.6349611011001333,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,246.4825821114706,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),215.60734612751932,TRQDUMO128F92E3896,Binary Star - Honest Expression,200.281270949443,TRHQAPS128F42A51F4,Matisyahu - Fire and Heights,119.36185905416376,TROYKQM128F428CCED,OutKast - Mainstream,114.52732773604721,TRQYLYP12903CC26F6,Barry White - Never Gonna Give You Up,106.12027186592677,TRQYLYP12903CC26F6,Barry White - Never Gonna Give You Up,0.26690847626005315,TRHQAPS128F42A51F4,Matisyahu - Fire and Heights,0.2615810013065218,TRWMHCZ128F42AE295,Matisyahu - Jerusalem,0.25483448266391645,TRHQAPS128F42A51F4,Matisyahu - Fire and Heights,0.3421506732540316,TRQYLYP12903CC26F6,Barry White - Never Gonna Give You Up,0.32940827919320403,TRWMHCZ128F42AE295,Matisyahu - Jerusalem,0.3182902209314574
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,4597.0,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3722.0,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),3671.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,4262.12,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),3452.1450000000004,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3441.9474999999993,TRVVIWJ128F42697BA,Fat Joe - Preacher On A Sunday Morning,0.6669323712356581,TRRJXRE128F93141F6,Calvin Harris - Ready For The Weekend,0.6648010039503743,TRPYPOE128F4248543,KATAKLYSM - Beyond Salvation,0.6619949063669094,TRVVIWJ128F42697BA,Fat Joe - Preacher On A Sunday Morning,0.6782620363865318,TRRJXRE128F93141F6,Calvin Harris - Ready For The Weekend,0.6750246601106777,TRPYPOE128F4248543,KATAKLYSM - Beyond Salvation,0.6703596100206974,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,178.61903824220047,TREADOS128E078EC1F,Eminem - If I Had,162.43307034762321,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),155.14230418241527,TREADOS128E078EC1F,Eminem - If I Had,121.3615558251213,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,93.3082081855372,TRBCPZS128F145ECC1,Nelly - Say Now,92.2168653935195,TRDPECV128F425D06C,Heatmiser - Half Right,0.26481860217002906,TRIXRYP128F149B87C,Pop Levi - Hades Lady,0.24657499773370326,TRZJPEO128F42437AE,Camper Van Beethoven - Sad Lover's Waltz,0.2441480542886448,TRDPECV128F425D06C,Heatmiser - Half Right,0.2977239544664077,TREADOS128E078EC1F,Eminem - If I Had,0.2921640239717054,TRKCUZQ128F9337624,Gary Allan - Half Of My Mistakes,0.2764968207302844
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,5557.0,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4567.0,TREBGAA128E078FC52,Erykah Badu - I Want You,4088.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,5091.479999999998,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4177.69625,TREBGAA128E078FC52,Erykah Badu - I Want You,3916.908750000005,TRUNGLI128F425AD28,The Derek Trucks Band - All I Do,0.6579208891618353,TRAVJGH128F14ADDB7,Avalon - Overjoyed,0.6397699791344647,TRKSSMT128E07948E7,Billie Piper - Day And Night,0.6306836382560342,TRUNGLI128F425AD28,The Derek Trucks Band - All I Do,0.667718031491555,TRAVJGH128F14ADDB7,Avalon - Overjoyed,0.6534939234987447,TRKSSMT128E07948E7,Billie Piper - Day And Night,0.6430239888722205,TREEWEF128F145F673,Dilated Peoples - Ear Drums Pop,207.0776268700607,TRBKQJB128F934EEF7,Ying Yang Twins - 1st Booty On Duty,197.78061056192914,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),196.09871987916367,TREEWEF128F145F673,Dilated Peoples - Ear Drums Pop,131.6163327088382,TRUWZJQ128F145E9F7,Afroman - Let's All Get Drunk,127.10593738059637,TRBKQJB128F934EEF7,Ying Yang Twins - 1st Booty On Duty,123.86617016810453,TRCETEN128F42AD6D0,Bowling For Soup - Here We Go,0.30141728563622316,TROOXHY128F42645A4,Wade Hayes - Don't Stop,0.2948051861970316,TREIBLK128F148642C,The Adicts - Disco,0.2931456528276341,TRCETEN128F42AD6D0,Bowling For Soup - Here We Go,0.34600192665468676,TROOXHY128F42645A4,Wade Hayes - Don't Stop,0.33925562526498093,TREKDZI128F146A972,UB40 - Here I Am (Come And Take Me),0.3313970699904889
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,6673.0,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5569.0,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),5237.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,6074.999999999998,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5068.906250000001,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),4846.1875,TROXHLM128F4266510,Blues Traveler - Hook,0.7430112475755679,TRAFLMU128F4274A4D,G-Unit - I Don't Want To Talk About It,0.7428348407469482,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.741684672691692,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.758552189169887,TROXHLM128F4266510,Blues Traveler - Hook,0.756381455883275,TRAFLMU128F4274A4D,G-Unit - I Don't Want To Talk About It,0.7561220426091677,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,386.37062301779616,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,294.5114529659673,TRQDUMO128F92E3896,Binary Star - Honest Expression,281.1417357740439,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,198.78504720412639,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,195.92225239076532,TRQDUMO128F92E3896,Binary Star - Honest Expression,150.09117548923592,TRTUCHE128F425B7CC,Jennifer Lopez - The Way It Is,0.28278810071128985,TRGVOYR128F9336E5A,Beastie Boys - Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),0.27007245555962317,TRQMXGX128F4264EF5,Fiona Apple - Oh Well,0.26357206738852745,TRGVOYR128F9336E5A,Beastie Boys - Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),0.35258464957091423,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,0.3430340905035264,TRTUCHE128F425B7CC,Jennifer Lopez - The Way It Is,0.3382566839745338
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,8789.0,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),7434.0,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),7016.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,8073.24,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),6966.227500000001,TREBGAA128E078FC52,Erykah Badu - I Want You,6740.938750000003,TRKEINR128F4258B98,Albert Hammond Jr - G Up,0.8027120628514783,TRZCHKB128F92CB740,Anastacia - Club Megamix,0.798845643223062,TROXHLM128F4266510,Blues Traveler - Hook,0.7916165377099667,TRKEINR128F4258B98,Albert Hammond Jr - G Up,0.8100800277820065,TRZCHKB128F92CB740,Anastacia - Club Megamix,0.8097786208426687,TROXHLM128F4266510,Blues Traveler - Hook,0.8019385595698869,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,318.7886076067768,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),315.63720227537294,TRIPIMD128F92D3E12,Ryan Leslie - Just Right,271.10241459181435,TRIPIMD128F92D3E12,Ryan Leslie - Just Right,205.5374263589826,TRUPCGD128F4282340,Omarion - I'm Gon' Change,150.90112093925572,TRZSQNU128F1461A9A,Eternal - Oh Baby I,150.09015280814978,TRIPIMD128F92D3E12,Ryan Leslie - Just Right,0.3209059754271073,TRZSQNU128F1461A9A,Eternal - Oh Baby I,0.2977159665699192,TRKTFAD12903CB80A0,Matt Wertz - 5:19,0.2937370937322219,TRIPIMD128F92D3E12,Ryan Leslie - Just Right,0.383527295702394,TRZSQNU128F1461A9A,Eternal - Oh Baby I,0.36091538382648203,TRKTFAD12903CB80A0,Matt Wertz - 5:19,0.3492689868880623
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,2328.0,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2215.0,TRCHZXW128E079288A,Eminem - 8 Mile,1918.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,2088.8,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2014.9624999999996,TRCHZXW128E079288A,Eminem - 8 Mile,1767.0375000000008,TRGLGNR128F1487A6F,Manafest - Runaway,0.7038249879695571,TRZPHVT128F4298109,The Cat Empire - The Car Song,0.6949109189982385,TRMDSAH12903CAF58C,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.6864159482424248,TRGLGNR128F1487A6F,Manafest - Runaway,0.7156599537949512,TRZPHVT128F4298109,The Cat Empire - The Car Song,0.7093541132995728,TRMDSAH12903CAF58C,Ballboy - I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.7006955849653108,TRCHZXW128E079288A,Eminem - 8 Mile,149.59886905913177,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,137.7536234919156,TRBXUMD12903CBB64D,Wu-Tang Clan - Da Mystery Of Chessboxin',131.27990257475392,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,87.07941180321065,TROSMJT128F42917CB,Gabrielle - Dreams,83.45261009078921,TRMSICB128F428A40A,Pennywise - Living For Today,80.02903595078563,TRBQTNZ128F42B09DF,Udo - What Can I Say,0.23641812027629425,TROSMJT128F42917CB,Gabrielle - Dreams,0.226879272322122,TRFNFSL128F146E882,Lemar - Time To Grow,0.22517607412480095,TRBQTNZ128F42B09DF,Udo - What Can I Say,0.28387782377696485,TRFNFSL128F146E882,Lemar - Time To Grow,0.2829780824267779,TROSMJT128F42917CB,Gabrielle - Dreams,0.27730858603431674
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,1913.0,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),1790.0,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,1585.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,1751.08,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),1684.1799999999998,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,1446.18,TRVJCBD128F4268421,Warrant - Bad Tattoo,0.6446113692397285,TRGPUVY128F9313AD9,Doyle Bramhall - Dimples,0.6116015460079217,TRSTDLM128EF3431B6,Ayo - Only You,0.6044967567223918,TRVJCBD128F4268421,Warrant - Bad Tattoo,0.6552596777324119,TRGPUVY128F9313AD9,Doyle Bramhall - Dimples,0.6187185674368255,TRSTDLM128EF3431B6,Ayo - Only You,0.6164341452711488,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,151.97499503722088,TRCJUCQ12903CEB017,OutKast - Hey Ya!,119.41702431327542,TRYCBLK12903CE6A0E,Twiztid - She Ain't Afraid,105.885959212277,TRCJUCQ12903CEB017,OutKast - Hey Ya!,97.61469109551784,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,86.50047648912741,TRRYCLJ128F42A56FF,Ledisi - Alright,81.12442743615048,TRONMKQ128F4266B98,Fishbone - Bonin' In The Boneyard,0.40122056998452643,TRGKRLH128F425788B,Johnny Winter - Rockin' Pneumonia,0.3329003209936181,TRRDVVU12903CD20F1,Percy Sledge - Baby Help Me,0.2904871980281099,TRONMKQ128F4266B98,Fishbone - Bonin' In The Boneyard,0.41092873200223506,TRGKRLH128F425788B,Johnny Winter - Rockin' Pneumonia,0.34532516072582653,TRRDVVU12903CD20F1,Percy Sledge - Baby Help Me,0.3228046834011955
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,1486.0,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1480.0,TROIJDA128F9341E70,R. Kelly - I Mean (I Don't Mean It),1471.0,TROIJDA128F9341E70,R. Kelly - I Mean (I Don't Mean It),1418.0449999999998,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1375.3649999999998,TRVJCDB128F4263466,Kandi - I Wanna Know,1369.059999999999,TRGZDBB128F4270A4C,Johnny Cash - I Don't Know Where I'm Bound,0.7786412276587253,TRFSQXF128F9311B25,LMFAO - I Am Not A Whore,0.7519388605715421,TRSXWSL128F933DFE5,Sneaky Sound System - 16,0.747201899335671,TRGZDBB128F4270A4C,Johnny Cash - I Don't Know Where I'm Bound,0.7834660807446496,TRFSQXF128F9311B25,LMFAO - I Am Not A Whore,0.7553117160686514,TRSXWSL128F933DFE5,Sneaky Sound System - 16,0.7532525144739896,TRFLWJZ128F425C9E4,The Pharcyde - Otha Fish,69.94024940338288,TRCHZXW128E079288A,Eminem - 8 Mile,69.23213744542862,TRDPGXU128F9339C2A,Beastie Boys - B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),66.17074759325436,TRUORRB128F42433B8,Tankard - Land Of The Free,53.29514194278919,TRRMQYQ128F42765E7,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,49.40110303552141,TRFLWJZ128F425C9E4,The Pharcyde - Otha Fish,47.872232379481,TRRMQYQ128F42765E7,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,0.33451866150127674,TRHLIDH128F426150F,Jimmy Cliff - Sufferin' In The Land,0.30445558606160017,TRAGQSM128F1468ECD,Body Count - Masters Of Revenge,0.26373792901032567,TRRMQYQ128F42765E7,Ziggy Marley And The Melody Makers - 13 Months Of Sunshine,0.35608490895083494,TRHLIDH128F426150F,Jimmy Cliff - Sufferin' In The Land,0.32122032787994115,TRZYEUM128F422BD98,The Cave Singers - Elephant Clouds,0.2887049104200338
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,2681.0,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),1936.0,TRQAWKR128F425EEC3,Michael Jackson - Man In The Mirror,1542.0,TRFUJVJ128F426F2A2,Lauryn Hill - Interlude 5,2362.6800000000003,TRWSYHO128F4282346,Twista - I'm A Winner (Amended Album Version),1727.9675000000004,TRGLNKG128F9307689,Eminem - My Darling,1312.15875,TRHWJQG128F92FD821,Brandy - Give Me You,0.47339539670254704,TRHRXAE128F92C1CDE,Leonard Cohen - The Stranger Song,0.47191782769569307,TRWUEMB128F148CCAC,Athlete - New Project,0.47047447228676664,TRHRXAE128F92C1CDE,Leonard Cohen - The Stranger Song,0.4971205446381256,TRHWJQG128F92FD821,Brandy - Give Me You,0.4888152706435525,TRWUEMB128F148CCAC,Athlete - New Project,0.4878990560684231,TRQMAUL12903CE91AC,Lyfe Jennings - She Got Kids,301.63555337323805,TRRUKSD128F9322FEF,Jill Scott - Brotha,269.3721923276803,TRFMKJY128F92E89F1,Big Brovaz - Find A Way,243.82556760932928,TRQMAUL12903CE91AC,Lyfe Jennings - She Got Kids,252.16260325832792,TRRUKSD128F9322FEF,Jill Scott - Brotha,248.57250050427362,TRQGFHN128F428643E,Slipknot - Gehenna,216.4703478458847,TROKNFL128F4290534,Gang Of Four - Outside The Trains Don't Run On Time,0.46034994761312903,TRRUKSD128F9322FEF,Jill Scott - Brotha,0.4390679728279672,TRCQZCM128F425FD8C,Blink-182 - GO,0.415535368964244,TROKNFL128F4290534,Gang Of Four - Outside The Trains Don't Run On Time,0.4779317461993666,TRRUKSD128F9322FEF,Jill Scott - Brotha,0.4585728531941818,TRCQZCM128F425FD8C,Blink-182 - GO,0.4407217351770495
